Term,LoanStatus,BorrowerRate,LenderYield,ProsperScore,ListingCategory (numeric),EmploymentStatus,LoanOriginalAmount,EstimatedLoss,EstimatedReturn,IncomeVerifiable
36,Current,0.1795,0.1695,4.0,1,Employed,4000,0.0774,0.08027000000000001,True
36,Defaulted,0.2999,0.2899,3.0,6,Employed,3000,0.149,0.1276,True
36,PastDue,0.2999,0.2899,3.0,2,Other,2500,0.149,0.1276,True
36,Completed,0.1009,0.0909,9.0,3,Full-time,5000,0.021,0.0697,True
60,Current,0.2432,0.2332,4.0,1,Employed,9000,0.0975,0.1173,True
60,Current,0.1725,0.1625,4.0,1,Employed,20000,0.0724,0.07923,True
36,Current,0.2492,0.2392,7.0,18,Employed,3500,0.1125,0.1065,True
36,Current,0.1639,0.1539,6.0,1,Employed,22000,0.0574,0.0878,True
36,Completed,0.0712,0.0612,10.0,6,Full-time,2200,0.006,0.0552,True
36,Current,0.0809,0.0709,8.0,1,Employed,10000,0.0199,0.04929,True
36,Current,0.2504,0.2404,2.0,1,Employed,3333,0.1275,0.09162000000000001,True
60,Current,0.2573,0.2473,6.0,2,Employed,7500,0.0925,0.1487,True
36,Current,0.2085,0.1985,3.0,7,Employed,10000,0.0925,0.09066,True
60,Current,0.2379,0.2279,4.0,1,Employed,15000,0.1125,0.09609,True
60,Current,0.187,0.177,3.0,1,Employed,15000,0.0774,0.08728,True
60,Completed,0.183,0.173,7.0,3,Employed,15000,0.042,0.128,True
36,Chargedoff,0.3177,0.3077,5.0,3,Employed,4000,0.1625,0.1271,True
36,Current,0.0809,0.0709,10.0,6,Employed,5500,0.0199,0.04929,True
36,Completed,0.2155,0.2055,8.0,2,Full-time,3000,0.08,0.1207,True
60,Current,0.1435,0.1335,6.0,1,Employed,12475,0.0524,0.074,True
36,Current,0.1355,0.1255,4.0,1,Other,4000,0.0474,0.07192,True
36,Current,0.0814,0.0714,8.0,1,Other,12500,0.0149,0.0552,True
36,Completed,0.093,0.083,8.0,3,Full-time,9000,0.015,0.068,True
36,Current,0.3134,0.3034,2.0,7,Employed,3500,0.1625,0.11348,True
60,Current,0.1795,0.1695,4.0,1,Employed,15000,0.0774,0.08027000000000001,True
36,Current,0.176,0.166,7.0,1,Employed,4500,0.0699,0.08528999999999999,True
36,Current,0.1089,0.0989,6.0,1,Employed,9310,0.0324,0.06291000000000001,True
36,Completed,0.2499,0.2399,5.0,7,Not employed,10000,0.119,0.115,False
36,Completed,0.092,0.082,9.0,3,Full-time,6500,0.021,0.0608,True
36,Current,0.0864,0.0764,10.0,1,Employed,3600,0.0199,0.0547,False
60,Current,0.194,0.184,4.0,1,Employed,12000,0.0874,0.08279,True
36,Current,0.285,0.275,3.0,3,Employed,4000,0.1475,0.10255999999999998,True
36,Current,0.1469,0.1369,6.0,7,Employed,2900,0.042,0.0926,True
36,Defaulted,0.3073,0.2973,1.0,2,Employed,5500,0.149,0.1347,True
36,Current,0.197,0.187,3.0,1,Employed,7500,0.0899,0.08284,True
36,Current,0.2925,0.2825,3.0,2,Employed,4000,0.1475,0.10941,True
36,Current,0.2148,0.2048,7.0,2,Employed,13500,0.089,0.111,True
36,Current,0.1089,0.0989,8.0,7,Employed,2000,0.0299,0.0657,False
36,Defaulted,0.2365,0.2265,6.0,1,Self-employed,6000,0.087,0.1341,False
36,Chargedoff,0.3177,0.3077,5.0,2,Not employed,4000,0.165,0.1246,False
36,Current,0.1679,0.1579,4.0,14,Other,3500,0.0599,0.0888,True
60,Current,0.1585,0.1485,8.0,2,Employed,24800,0.0624,0.07712999999999999,True
60,Current,0.2736,0.2636,4.0,1,Employed,15000,0.1175,0.1235,True
36,Completed,0.2599,0.2499,5.0,7,Employed,3800,0.112,0.1317,True
60,Current,0.1769,0.1669,5.0,1,Employed,15000,0.0574,0.1001,True
60,Current,0.1346,0.1246,9.0,19,Employed,25000,0.0299,0.0906,True
36,Completed,0.1621,0.1521,8.0,1,Employed,3000,0.0595,0.09,True
36,Completed,0.2575,0.2475,8.0,7,Employed,3000,0.098,0.1434,True
36,Current,0.0879,0.0779,10.0,1,Employed,13000,0.0224,0.05342,True
36,Chargedoff,0.3199,0.3099,2.0,3,Employed,4000,0.165,0.1267,True
36,Current,0.1899,0.1799,5.0,1,Employed,10000,0.0724,0.0955,True
36,Current,0.0949,0.0849,8.0,1,Employed,20000,0.0224,0.06026,True
60,Current,0.2468,0.2368,7.0,7,Employed,10000,0.089,0.1422,False
36,Current,0.0659,0.0559,10.0,1,Employed,10000,0.0124,0.04261,True
60,Current,0.162,0.152,7.0,1,Employed,7000,0.0649,0.07766,True
60,Current,0.2085,0.1985,8.0,1,Employed,15000,0.0565,0.1385,True
36,Current,0.2786,0.2686,2.0,15,Employed,4000,0.1325,0.1122,False
60,Current,0.173,0.163,7.0,1,Employed,15000,0.0674,0.08524,True
36,Current,0.3177,0.3077,4.0,7,Employed,4000,0.165,0.1246,True
60,Current,0.2179,0.2079,5.0,1,Employed,10000,0.0799,0.1133,True
36,Current,0.2786,0.2686,2.0,1,Self-employed,4000,0.1325,0.1122,False
36,Chargedoff,0.1559,0.1459,4.0,1,Self-employed,10000,0.0524,0.0858,False
36,Completed,0.197,0.187,9.0,1,Full-time,5500,0.065,0.1177,True
60,Current,0.1334,0.1234,8.0,2,Employed,15000,0.0399,0.0782,True
36,Completed,0.1099,0.0999,6.0,1,Employed,7000,0.0299,0.06663,True
36,Current,0.1099,0.0999,10.0,1,Employed,30000,0.0324,0.06387999999999999,True
36,Current,0.1939,0.1839,6.0,18,Employed,5000,0.0749,0.0965,True
36,Current,0.1655,0.1555,6.0,7,Employed,15000,0.0674,0.07819,True
60,Current,0.1915,0.1815,5.0,1,Employed,9000,0.0799,0.08872000000000001,True
36,Current,0.1905,0.1805,4.0,1,Other,4000,0.0849,0.08227000000000001,True
60,Completed,0.1219,0.1119,7.0,1,Employed,8000,0.0349,0.0727,True
36,Current,0.0809,0.0709,8.0,1,Employed,12000,0.0199,0.04929,True
36,Current,0.285,0.275,2.0,1,Employed,4000,0.1475,0.10255999999999998,True
36,Current,0.2346,0.2246,6.0,2,Other,3500,0.1025,0.1039,True
60,Current,0.1419,0.1319,9.0,1,Employed,30000,0.0424,0.0836,True
60,Current,0.18,0.17,7.0,1,Employed,15000,0.0724,0.08627,True
36,Current,0.0605,0.0505,10.0,1,Employed,9000,0.0074,0.04261,True
36,Current,0.162,0.152,3.0,1,Other,4000,0.0649,0.07766,True
60,Current,0.2099,0.1999,5.0,2,Employed,15000,0.0749,0.1115,True
36,Completed,0.0899,0.0799,8.0,7,Employed,2000,0.02,0.0597,True
36,Completed,0.2499,0.2399,6.0,2,Employed,2000,0.119,0.115,True
36,Completed,0.322,0.312,5.0,1,Employed,7500,0.142,0.1557,True
36,Current,0.15,0.14,4.0,1,Employed,20000,0.0574,0.07463,True
36,Current,0.2932,0.2832,2.0,14,Employed,4000,0.1425,0.115,True
12,Completed,0.0817,0.0717,9.0,1,Employed,10000,0.033,0.0386,True
60,Current,0.2259,0.2159,4.0,1,Employed,15000,0.0849,0.1152,True
36,Completed,0.201,0.191,10.0,1,Full-time,1500,0.065,0.1216,True
36,Completed,0.275,0.265,8.0,1,Employed,5000,0.108,0.1504,True
36,Current,0.2712,0.2612,2.0,1,Employed,4000,0.1275,0.1107,True
36,Completed,0.2379,0.2279,7.0,7,Full-time,3000,0.1,0.1223,False
36,Current,0.1774,0.1674,4.0,7,Employed,3000,0.0649,0.0922,True
36,Current,0.1139,0.1039,10.0,1,Employed,11000,0.0349,0.06498999999999999,True
36,Chargedoff,0.3149,0.3049,4.0,1,Employed,6000,0.147,0.1439,True
36,Chargedoff,0.2958,0.2858,6.0,1,Employed,2500,0.147,0.1257,True
36,Current,0.1034,0.0934,7.0,6,Employed,7000,0.0274,0.0631,True
36,Completed,0.3177,0.3077,5.0,1,Employed,4000,0.165,0.1246,True
36,Chargedoff,0.3177,0.3077,4.0,1,Employed,4000,0.165,0.1246,True
36,Completed,0.3199,0.3099,4.0,1,Employed,7500,0.147,0.1487,True
36,Current,0.2346,0.2246,6.0,7,Employed,2000,0.1025,0.1039,True
36,Completed,0.3495,0.3395,5.0,1,Full-time,2500,0.19,0.1294,True
60,Current,0.2573,0.2473,6.0,1,Employed,15000,0.0925,0.1487,True
36,Current,0.3199,0.3099,5.0,6,Employed,7500,0.147,0.1487,True
36,Current,0.1274,0.1174,4.0,7,Employed,9000,0.0424,0.0697,True
60,Current,0.2489,0.2389,6.0,1,Employed,7500,0.0925,0.1281,True
60,Current,0.1355,0.1255,10.0,1,Full-time,20000,0.0474,0.07192,True
60,Current,0.1314,0.1214,9.0,1,Employed,20000,0.0449,0.07077,True
60,Current,0.1364,0.1264,9.0,15,Employed,3000,0.0249,0.101,True
36,Completed,0.3177,0.3077,1.0,18,Employed,4000,0.1675,0.1221,True
36,Current,0.2552,0.2452,5.0,3,Employed,7000,0.119,0.1202,True
36,Current,0.1509,0.1409,4.0,1,Other,20000,0.0499,0.0838,True
36,Completed,0.139,0.129,9.0,1,Employed,4500,0.038,0.0905,True
36,Chargedoff,0.1874,0.1774,4.0,15,Employed,7000,0.065,0.1083,True
36,Current,0.1824,0.1724,4.0,1,Employed,5000,0.0674,0.0941,True
36,Current,0.2699,0.2599,7.0,1,Employed,5000,0.112,0.1414,True
36,Completed,0.2599,0.2499,6.0,7,Employed,10000,0.112,0.1317,True
60,Current,0.2624,0.2524,3.0,1,Employed,10000,0.1325,0.09737,True
36,Current,0.2699,0.2599,6.0,7,Employed,4000,0.112,0.1414,True
36,Current,0.1314,0.1214,7.0,2,Employed,15000,0.0449,0.07077,True
60,Current,0.1355,0.1255,6.0,1,Self-employed,15000,0.0474,0.07192,False
36,Completed,0.2839,0.2739,8.0,1,Employed,4000,0.1375,0.1239,True
60,Current,0.1199,0.1099,10.0,1,Employed,20000,0.0349,0.07078,True
36,Current,0.198,0.188,3.0,1,Employed,8000,0.0849,0.08926,True
36,Current,0.1449,0.1349,8.0,19,Employed,2000,0.0565,0.0761,True
36,Chargedoff,0.2287,0.2187,5.0,1,Full-time,5025,0.099,0.1144,True
36,Current,0.215,0.205,3.0,1,Employed,10000,0.1025,0.08578,True
36,Current,0.2199,0.2099,4.0,7,Employed,4200,0.1,0.1048,True
36,Current,0.2859,0.2759,2.0,7,Self-employed,4000,0.1375,0.1137,False
36,Chargedoff,0.2625,0.2525,7.0,1,Full-time,2500,0.1,0.1463,True
36,Chargedoff,0.2699,0.2599,6.0,1,Self-employed,4000,0.108,0.1454,False
36,Current,0.2287,0.2187,7.0,10,Employed,2000,0.099,0.1144,True
36,Completed,0.3435,0.3335,5.0,6,Employed,1500,0.142,0.1761,True
36,Current,0.3177,0.3077,3.0,1,Employed,4000,0.1625,0.1271,True
36,Current,0.1239,0.1139,4.0,1,Self-employed,15000,0.0399,0.0691,False
36,Completed,0.139,0.129,9.0,7,Employed,15000,0.038,0.0905,True
60,Current,0.189,0.179,6.0,1,Employed,13000,0.0874,0.07814,True
36,Current,0.197,0.187,4.0,1,Employed,4000,0.0899,0.08284,True
36,Current,0.155,0.145,3.0,1,Self-employed,15000,0.0549,0.08215,False
36,Current,0.093,0.083,7.0,1,Self-employed,3000,0.0249,0.05567999999999999,False
36,Current,0.3177,0.3077,5.0,1,Employed,4000,0.1625,0.1271,True
60,Current,0.1519,0.1419,7.0,18,Employed,15000,0.0474,0.0876,True
36,Completed,0.275,0.265,8.0,1,Employed,7500,0.108,0.1504,True
36,Current,0.1039,0.0939,10.0,2,Employed,10000,0.0299,0.06081,True
36,Current,0.0964,0.0864,9.0,1,Employed,16500,0.02,0.0662,True
36,Current,0.2124,0.2024,4.0,15,Employed,7500,0.0874,0.0999,True
60,Current,0.1465,0.1365,9.0,1,Employed,11000,0.0549,0.07408,True
36,Chargedoff,0.3177,0.3077,5.0,1,Employed,4000,0.1625,0.1174,True
60,Current,0.1685,0.1585,3.0,1,Employed,4000,0.0699,0.07824,True
36,Current,0.2999,0.2899,1.0,18,Self-employed,2500,0.149,0.1276,False
36,Current,0.176,0.166,7.0,1,Employed,8000,0.0699,0.08528999999999999,True
36,Current,0.1734,0.1634,2.0,2,Employed,12000,0.0624,0.0912,True
36,Completed,0.3177,0.3077,3.0,7,Not employed,2000,0.165,0.1246,False
36,Current,0.1734,0.1634,4.0,2,Self-employed,2000,0.0624,0.0912,False
36,Current,0.0849,0.0749,10.0,13,Employed,7000,0.0199,0.0532,True
36,Chargedoff,0.2599,0.2499,6.0,1,Employed,2000,0.108,0.1357,True
60,Current,0.1769,0.1669,6.0,2,Employed,10000,0.0574,0.1001,True
36,Chargedoff,0.095,0.085,9.0,1,Full-time,5000,0.015,0.07,True
36,Current,0.1189,0.1089,7.0,1,Employed,15000,0.0374,0.06706000000000001,True
36,Current,0.1349,0.1249,5.0,1,Other,4000,0.0424,0.07689,True
36,Current,0.2499,0.2399,6.0,1,Employed,3500,0.119,0.115,True
36,Current,0.1305,0.1205,4.0,1,Self-employed,15000,0.0474,0.06715,False
60,Current,0.2443,0.2343,4.0,7,Employed,15000,0.085,0.1437,True
12,Completed,0.19,0.18,7.0,7,Employed,2000,0.107,0.0688,True
36,Completed,0.34,0.33,2.0,3,Self-employed,2500,0.24,0.0705,False
36,Current,0.1626,0.1526,8.0,1,Employed,10000,0.0565,0.0935,True
60,Current,0.195,0.185,6.0,1,Employed,20000,0.0824,0.08922000000000001,True
36,Current,0.2049,0.1949,7.0,15,Employed,4500,0.089,0.1014,True
36,Current,0.2272,0.2172,3.0,1,Employed,10000,0.0975,0.1025,True
12,Completed,0.2499,0.2399,6.0,6,Employed,3000,0.112,0.122,True
36,Completed,0.2899,0.2799,3.0,1,Full-time,4500,0.13,0.1371,True
36,Completed,0.3177,0.3077,5.0,19,Employed,4000,0.165,0.1246,True
36,Current,0.3125,0.3025,1.0,1,Full-time,4000,0.17,0.1148,True
36,Current,0.0819,0.0719,10.0,1,Employed,9000,0.0174,0.05297999999999999,True
36,Completed,0.1385,0.1285,8.0,7,Full-time,4000,0.05,0.0764,True
36,Current,0.2419,0.2319,2.0,2,Employed,3000,0.1075,0.1051,True
36,Current,0.14,0.13,5.0,1,Employed,25000,0.0499,0.07343999999999999,True
36,Current,0.1099,0.0999,7.0,1,Employed,10000,0.0324,0.06387999999999999,True
60,Current,0.1269,0.1169,7.0,1,Employed,19000,0.0374,0.0748,True
60,Current,0.2099,0.1999,3.0,1,Employed,4000,0.0749,0.1115,True
36,Defaulted,0.26,0.25,6.0,1,Full-time,4000,0.183,0.0526,True
36,Completed,0.3199,0.3099,5.0,3,Employed,7500,0.147,0.1487,True
36,Current,0.1695,0.1595,8.0,1,Employed,7000,0.0649,0.08473,True
12,Completed,0.2343,0.2243,8.0,3,Employed,4000,0.146,0.0682,True
60,Current,0.2124,0.2024,8.0,18,Employed,9000,0.0599,0.1389,True
60,Current,0.2235,0.2135,3.0,1,Employed,7000,0.1075,0.08821,True
36,Completed,0.2699,0.2599,5.0,7,Self-employed,7000,0.112,0.1414,False
36,Defaulted,0.1902,0.1802,5.0,1,Employed,3000,0.065,0.111,True
60,Current,0.1219,0.1119,7.0,1,Employed,10000,0.0349,0.0727,True
36,Completed,0.092,0.082,9.0,1,Full-time,4700,0.021,0.0608,True
60,Current,0.1915,0.1815,6.0,7,Employed,15000,0.0799,0.08872000000000001,True
60,Completed,0.2124,0.2024,8.0,1,Employed,11000,0.0599,0.1389,True
60,Chargedoff,0.2969,0.2869,3.0,15,Full-time,4000,0.1375,0.1237,True
36,Current,0.1299,0.1199,6.0,18,Employed,15000,0.0399,0.0749,True
60,Current,0.1551,0.1451,9.0,1,Employed,15500,0.033,0.1115,True
36,Chargedoff,0.325,0.315,7.0,2,Full-time,8000,0.1,0.207,True
60,Completed,0.3304,0.3204,3.0,1,Employed,4000,0.149,0.1567,True
12,Completed,0.1224,0.1124,8.0,1,Employed,6950,0.0565,0.0541,True
60,Current,0.1585,0.1485,6.0,1,Employed,15000,0.0624,0.07712999999999999,True
36,Completed,0.103,0.093,8.0,1,Full-time,20000,0.015,0.0779,True
36,Current,0.0769,0.0669,8.0,1,Other,10000,0.0174,0.048060000000000005,True
36,Completed,0.111,0.101,8.0,1,Full-time,10000,0.02,0.0807,True
36,Completed,0.3435,0.3335,5.0,1,Employed,7500,0.142,0.1761,True
36,Current,0.3075,0.2975,2.0,7,Employed,4000,0.1575,0.1131,True
36,Current,0.2099,0.1999,7.0,13,Employed,2000,0.0849,0.1103,True
36,Current,0.1899,0.1799,6.0,6,Employed,7000,0.0724,0.0955,True
36,Defaulted,0.3134,0.3034,3.0,13,Other,4000,0.1575,0.1185,True
36,Completed,0.2124,0.2024,8.0,1,Employed,9000,0.0874,0.0999,True
36,Completed,0.1115,0.1015,9.0,1,Employed,10000,0.035,0.0662,True
36,Chargedoff,0.2499,0.2399,5.0,7,Employed,15000,0.119,0.115,True
36,Completed,0.34,0.33,9.0,1,Full-time,2500,0.065,0.257,True
36,Current,0.1899,0.1799,4.0,18,Employed,3500,0.0724,0.0955,True
36,Chargedoff,0.3199,0.3099,5.0,1,Employed,7500,0.147,0.1487,True
36,Current,0.1199,0.1099,7.0,20,Employed,10000,0.0349,0.0746,True
36,Current,0.152,0.142,8.0,1,Employed,3000,0.0524,0.08209,True
60,Current,0.1465,0.1365,7.0,7,Employed,25000,0.0549,0.07408,True
60,Current,0.0869,0.0769,10.0,6,Employed,3500,0.0199,0.0552,True
60,Current,0.1799,0.1699,7.0,2,Employed,11890,0.0595,0.1074,True
36,Chargedoff,0.274,0.264,6.0,3,Full-time,7500,0.098,0.1594,True
36,Current,0.0899,0.0799,8.0,1,Employed,3000,0.02,0.0597,True
36,Chargedoff,0.3058,0.2958,6.0,1,Employed,4000,0.147,0.1352,True
60,Current,0.1519,0.1419,5.0,1,Employed,7000,0.0474,0.0876,True
36,Chargedoff,0.3199,0.3099,4.0,3,Employed,7500,0.147,0.1487,True
36,Current,0.1685,0.1585,3.0,1,Employed,5000,0.0699,0.07824,True
36,Current,0.1905,0.1805,4.0,1,Employed,25000,0.0849,0.08227000000000001,True
36,Current,0.1039,0.0939,7.0,1,Employed,20000,0.0299,0.06081,True
36,Current,0.1039,0.0939,9.0,1,Employed,15000,0.0299,0.06081,True
36,Current,0.2599,0.2499,5.0,3,Full-time,5000,0.112,0.1317,True
36,Completed,0.3177,0.3077,3.0,2,Employed,4000,0.1675,0.1221,True
36,Current,0.2394,0.2294,4.0,1,Employed,5500,0.1175,0.09211,True
36,Completed,0.1609,0.1509,5.0,1,Employed,7000,0.052,0.0963,True
36,Current,0.1199,0.1099,5.0,1,Employed,10000,0.0349,0.07078,True
36,Current,0.2599,0.2499,6.0,6,Employed,4500,0.108,0.1357,True
36,Current,0.2524,0.2424,7.0,1,Employed,9000,0.1175,0.1189,True
60,Completed,0.2045,0.1945,4.0,1,Employed,7000,0.0899,0.0898,True
36,Completed,0.1799,0.1699,8.0,1,Employed,13500,0.0595,0.1074,True
